Number,Name,Address,Latitude,Longitude
197,197 - DE SMET,DE SMET - PLACE HENRI DE SMET / HENRI DE SMETPLEIN,50.848255,4.314854
62,062 - CORTENBERGH / KORTENBERG,CORTENBERGH / KORTENBERG - AVENUE D'AUDERGHEM 1 - 9 /OUDERGHEMLAAN 1-9,50.84177,4.38418
278,278 - STADE / STADIUM,STADE / STADIUM - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN,50.894005,4.331902
320,320 - UZ BRUSSEL,UZ BRUSSEL - AVENUE DE L'ARBRE BALLON / DIKKE-BEUKLAAN,50.886451,4.310966
187,187 - ARSENAL/ARSENAAL,ARSENAL/ARSENAAL - BOULEVARD LOUIS SCHMIDT/ LOUIS SCHMIDTLAAN 2,50.826603,4.397117
315,315 - SACRE COEUR AUDERGHEM/HEILIGE HART OUDERGHEM,SACRE COEUR AUDERGHEM / HEILIGE HART OUDERGHEM - SQUARE DU SACREE CŒUR / HEILIG-HARTSQUARE,50.810322,4.435789
291,291 - DECROLY,DECROLY - RUE GATTI DE GAMMOND / GATTI DE GAMMOND STRAAT,50.804661,4.327886
238,238 - UNION SAINT-GILLOISE / SINT-GILLIS UNIE,UNION SAINT-GILLOISE / SINT-GILLIS UNIE - CH DE BRUXELLES 366-362 / BRUSSELSESTEENWEG 366-362,50.820278,4.330802
266,266 - GARE BORDET STATION,GARE BORDET / BORDET STATION - CHAUSSEE D'HAECHT FACE 1147 / HAACHTSESTEENWEG VOOR 1147,50.877552,4.409136
17,017 - COMTE DE FLANDRE/GRAAF VAN VLAANDEREN,COMTE DE FLANDRE/GRAAF VAN VLAANDEREN - RUE SAINTE-MARIE / SINT-MARIASTRAAT,50.855358,4.339465
229,229 - ZAMAN FOREST NATIONAL/ZAMAN VORST NATIONAAL,ZAMAN FOREST NATIONAL/ZAMAN VORST NATIONAAL - AV VAN VOLXEM 2 / VAN VOLXEMLAAN 2,50.813587,4.324681
74,074 - PLACE LOIX/LOIXPLEIN,PLACE LOIX/LOIXPLEIN - RUE BERCKMANS/ BERCKMANSSTRAAT 78 - 84,50.831936,4.353037
106,106 - GERMOIR/MOUTERIJ,GERMOIR/MOUTERIJ - AVENUE DE LA COURONNE/KROONLAAN 92-94-96,50.830012,4.378625
267,267 - GENEVE,GENEVE - RUE DE GENEVE /  GENEVESTRAT 12,50.862912,4.403226
190,190 - TERDELT,TERDELT - PLACE TERDELT / TERDELTPLEIN,50.867904,4.390696
362,362 - GARE BERCHEM ST AGATHE/ST AGATA BERCHEM,GARE BERCHEM ST AGATHE/ST AGATA BERCHEM STATION - RUE BOIS DES ÎLES/EILANDENHOUTSTRAAT 1-15,50.872501,4.290218
16,016 - LOUISE / LOUIZA,LOUISE/LOUIZA - PLACE LOUISE/LOUIZAPLEIN 53,50.835968,4.355508
318,318 - CARDINAL MERCIER / KARDINAAL MERCIER,CARDINAL MERCIER / KARDINAAL MERCIER - PLACE CARDINAL MERCIER / KARDINAAL MERCIER PLEIN 6,50.880539,4.32823
217,217 - BIZET,BIZET - PLACE BIZET (face 11 a 19) / BIZETPLEIN (TEGENOVER 11 tot 19),50.824913,4.297248
116,116 - ULB PLAINE,ULB PLAINE - BOULEVARD DE LA PLAINE  (ENTREE ULB) / PLEINLAAN (INGANG VUB),50.818253,4.395749
275,275 - VERSAILLES,VERSAILLES - AVENUE DE VERSAILLES / VERSAILLESLAAN 125,50.896278,4.372427
69,069 - LESBROUSSART,LESBROUSSART - AVENUE LOUISE/LOUIZALAAN 192,50.827577,4.363797
329,329 - ROODEBEEK,ROODEBEEK - AV PAUL HYMANS FACE À L'ARRÊT METRO ROODEBEEK,50.847617,4.436084
183,183 - LA CHASSE/JACHT,LA CHASSE/JACHT - AVENUE DES CASERNES/ KAZERNENLAAN 4 - 6,50.829928,4.390357
117,117 - CIMETIERE D'IXELLES/BEGRAAFPLAATS VAN ELSENE,CIMETIERE D'IXELLES / BEGRAAFPLAATS VAN ELSENE - AVENUE DE LA COURONNE/KROONLAAN 449,50.816029,4.391006
168,168 - HOPITAL FRANÇAIS/FRANS HOSPITAAL,HOPITAL FRANÇAIS/FRANS HOSPITAAL - AVENUE JOS GOFFINLAAN 133-135,50.866379,4.303281
257,257 - PL MARGHERITE D'AUTRICHE / MARGARETHA VAN OO,PLACE MARGHERITE D'AUTRICHE / MARGARETHA VAN OOSTENRIJKPLEIN,50.872169,4.298216
49,049 - WILLEBROECK/WILLEBROEK,WILLEBROECK/WILLEBROEK - QUAI DE WILLEBROECK/WILLEBROEKKAAI 22 BIS,50.8615,4.351143
118,118 - SCHWEITZER,SCHWEITZER - PLACE DOCTEUR SCHWEITZER,50.864622,4.297878
23,023 - AGORA / AGORA,AGORA - PLACE AGORA/AGORAPLEIN 120,50.846331,4.355193
332,332 - VERGOTE,VERGOTE - BD BRAND WHITLOK,50.845229,4.404311
271,271 - DUBOIS,DUBOIS - BD EMILE MACHTENS/LAAN 102-104,50.851158,4.309591
66,066 - SCHUMAN,SCHUMAN - RUE DE LA LOI 170,50.843359,4.379946
251,251 - PAOLA,PAOLA - RUE VICTOR ALLARD FACE 222 / VICTOR ALLARD STRAAT VOOR 222,50.800377,4.326985
131,131 - JARDIN MASSART,JARDIN MASSART - AV HERMANN DEBROUXLAAN,50.81329,4.434751
174,174 - MENNEKENS/MENNEKENS,MENNEKENS - AVENUE BRIGADE PIRON (FACE AUX 80 - 82 - 84)/ BRIGADE PIRONLAAN (TEGENOVER 80 - 82 - 84),50.853947,4.31635
56,056 - ARCHIMEDE / ARCHIMEDES,ARCHIMEDE / ARCHIMEDES - RUE ARCHIMEDE/ARCHIMEDESSTRAAT 58-64,50.845817,4.383722
123,123 - BASCULE,BASCULE -  CHAUSSEE DE VLEURGAT (DEVANT 315 - 317) / VLEURGATSESTEENWEG  (N° 315 - 317),50.817507,4.366498
143,143 - RTL,RTL  - CHAUSSEE DE LOUVAIN (DVT 770)/ LEUVENSE STEENWEG (N° 770),50.857218,4.407879
83,083 - SIMONIS,SIMONIS / BD LEOPOLD II (DEVANT 282)/ LEOPOLD II-LAAN (N° 282),50.86284,4.33126
155,155 - LES MARRONNIERS,LES MARRONNIERS - CHEE DE WAVRE / WAVERSESTEENWEG FACE / VOOR 1049 - 1055,50.824953,4.399088
147,147 - EMILE MAX LYCEE/LYCEUM EMILE MAX,EMILE MAX LYCEE/LYCEUM EMILE MAX - CHAUSSEE D'HAECHT/ HAACHTSESTEENWEG 226 - 230,50.861874,4.372146
84,084 - STE ANNE/SINT-ANNA,STE ANNE/SINT-ANNA  -  RUE DE L'EGLISE STE ANNE/SINT-ANNAKERKSTRAAT 116,50.85896,4.330107
77,077 - PAUL JANSON,PAUL JANSON - CHAUSSEE DE CHARLEROI/ CHARLEROISESTEENWEG 159,50.827399,4.355281
323,323 - CARENE,CARENE - AV LEON GROSJEAN 79,50.855186,4.415246
101,101 - ZELLIK,ZELLIK - CHAUSSEE DE ZELLIK 4,50.869204,4.291663
202,202 - AUMALE,AUMALE - RUE D'AUMALE / AUMALESTRAAT 339-341,50.840217,4.313386
270,270 - DE PADUWA,DE PADUWA - AVENUE DES ANCIENS COMBATTANTS / OUD-STRIJDERSLAAN 1,50.859127,4.414406
235,235 - FOREST NATIONAL / VORST NATIONAAL,FOREST NATIONAL / VORST NATIONAAL - AV VICTOR ROUSSEAU DVT FOREST NATIONAL / VICTOR ROUSSEAU LAAN VOOR VORST NATIONAAL,50.810085,4.324864
300,300 - GARE DE BOONDAELSTATION,GARE DE BOONDAELSTATION - AV DE LA FORET 23 / VORSTLAAN 23,50.801434,4.392831
94,094 - DUCHESSE DE BRABANT/HERTOGIN VAN BRABANT,DUCHESSE DE BRABANT/HERTOGIN VAN BRABANT - RUE DE BIRMINGHAM / BIRMINGHAMSTRAAT,50.849215,4.329184
263,263 - MAISON COMMUNALE D'EVERE,MAISON COMMUNALE D'EVERE/ EVERE GEMEENTEHUIS - SQUARE HOEDEMAEKERS / HOEDEMAEKERSESQUARE 7-8,50.872002,4.403286
304,304 - ARAUCARIA,ARAUCARIA - AV DES CROIX DE FEU DEV 221C,50.893497,4.363297
9,009 - ANNEESSENS,ANNEESSENS - BLD MAURICE LEMONNIER/MAURICE LEMONNIERLAAN 42-44-46,50.844045,4.345048
214,214 - CAMPUS CERIA / CAMPUS VAN CERIA,CAMPUS CERIA / CAMPUS VAN CERIA - AV EMILE GRYSON (FACE 6 a 10) / EMILE GRYSONLAAN (TEGENOVER 6 tot 10),50.816002,4.295121
